Unit,Group Name/Partner,Date and Time,Borough,LocationType,Park,Event Name,EventType,Category,Classification,Attendance,Audience,acres,Attendance_acre
Recreation,Zuleika Diaz,08/11/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,5,Tot;#Children;#Teens;#Adults,131,0.03816793893129771
Recreation,Giovanni Feliciano,08/04/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,0,Tot;#Children;#Teens,131,0
Recreation,Giovanni Feliciano,08/05/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,3,Tot;#Children;#Teens,131,0.022900763358778626
Recreation,Giovanni Feliciano,08/13/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,5,Adults,131,0.03816793893129771
Recreation,"Arts, Culture, and Fun Mobile Van",08/13/2020 10:30:00 AM,Bronx,Park,Van Cortlandt Park,NA,Community Based Event,Arts/Culture,AC&F,0,Tot;#Children;#Teens,1146.43,0
Recreation,NA,08/14/2020 10:00:00 AM,Bronx,Park,Soundview Park,Photography and Art in Nature,Agency Produced Event,Arts/Culture,Summer 2020,12,Children;#Tot,205.31,0.058448200282499634
Urban Park Rangers,General Public,08/14/2020 12:15:00 PM,Bronx,Park,Soundview Park,Natural Chalk Drawing,Agency Produced Event,Nature,Summer 2020,4,Children,205.31,0.019482733427499878
Urban Park Rangers,General Public,08/14/2020 02:00:00 PM,Manhattan,Park,Inwood Hill Park,Seining at Dyckman Pier (The Great Fish Count),Agency Produced Event,Nature,Summer 2020,10,General Public,196.398,0.05091701544822249
Recreation,Art Students League,08/13/2020 10:30:00 AM,Manhattan,Park,Inwood Hill Park,Arts Culture & Fun,Local Event,Arts/Culture,AC&F,0,Young Adult;#Adults;#Teens,196.398,0
Urban Park Rangers,General Public,08/15/2020 02:00:00 PM,Bronx,Park,Highbridge Park,Highbridge History,Agency Produced Event,Nature,Summer 2020,0,General Public,131,0
Urban Park Rangers,General Public,08/16/2020 03:00:00 PM,Manhattan,Park,Morningside Park,Turtle Time!,Community Based Event,Nature,Summer 2020,25,General Public,29.888,0.8364561027837258
Recreation,Tasha Valentino,08/17/2020 11:00:00 AM,Bronx,Park,Soundview Park,Qigong at Soundview Park,Agency Produced Event,Fitness,Summer 2020,0,Adults,205.31,0
Recreation,Tasha Valentino,08/17/2020 10:00:00 AM,Bronx,Park,Soundview Park,Mindful Play,Agency Produced Event,Fitness,Summer 2020,0,Children,205.31,0
Recreation,"Arts, Culture, and Fun Mobile Unit",08/14/2020 10:00:00 AM,Bronx,Park,Soundview Park,NA,Community Based Event,Arts/Culture,NA,12,Tot,205.31,0.058448200282499634
Recreation,NA,07/28/2018 08:30:00 PM,Bronx,Park,Van Cortlandt Park,Movies Under The Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,125,General Public,1146.43,0.10903413204469527
Recreation,Zuleika Diaz,08/18/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,8,Tot;#Children;#Teens;#Adults,131,0.061068702290076333
