scientific,common,year,id,geometry,park
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837700.90974719, 2198418.09449383)",PelhamBaySouth
Amelanchier canadensis , Canadian serviceberry,2018,NA,"c(1836775.99526742, 2198101.32262749)",PelhamBaySouth
Quercus phellos , willow oak,2018,NA,"c(1837423.86261339, 2198191.40904029)",PelhamBaySouth
Cercis canadensis , eastern redbud,2018,NA,"c(1836713.99190363, 2198000.27759356)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837426.12971238, 2198117.30797412)",PelhamBaySouth
Cercis canadensis , eastern redbud,2018,NA,"c(1836633.64597581, 2197982.38297491)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1837354.23508942, 2198237.35874045)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837698.09859708, 2198477.38217267)",PelhamBaySouth
Pyrus calleryana , Callery pear,2018,NA,"c(1837662.06839956, 2198417.43682924)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837362.76523735, 2198176.33488475)",PelhamBaySouth
Quercus bicolor , swamp white oak,2018,NA,"c(1837768.00499104, 2197686.07984608)",PelhamBaySouth
Pinus resinosa , red pine,2018,NA,"c(1836620.72756979, 2198003.0096702)",PelhamBaySouth
Pinus strobus , eastern white pine,2018,NA,"c(1837055.61385547, 2198411.75884183)",PelhamBaySouth
Quercus velutina , black oak,2018,NA,"c(1837177.92310145, 2198118.87119633)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1836817.97487933, 2198164.26866427)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837502.02699714, 2198186.66015521)",PelhamBaySouth
Unknown , Unknown,2018,NA,"c(1836808.10052921, 2198136.25501253)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837061.80214646, 2198385.0271723)",PelhamBaySouth
Quercus phellos , willow oak,2018,NA,"c(1837514.26426028, 2198235.33682498)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837173.76085059, 2198256.47537405)",PelhamBaySouth
Prunus serotina , black cherry,2018,NA,"c(1837993.77271984, 2197837.15276641)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1836673.37841912, 2198115.16816273)",PelhamBaySouth
Prunus serotina , black cherry,2018,NA,"c(1837838.48116574, 2197692.14202056)",PelhamBaySouth
Carya cordiformis , bitternut hickory,2018,NA,"c(1837586.85331541, 2197936.82520427)",PelhamBaySouth
Platanus x acerifolia , London planetree,2018,NA,"c(1837235.34752475, 2198020.82940069)",PelhamBaySouth
Cercis canadensis , eastern redbud,2018,NA,"c(1836631.82685355, 2197970.83224815)",PelhamBaySouth
Pyrus calleryana , Callery pear,2018,NA,"c(1837476.40510537, 2197722.74522363)",PelhamBaySouth
Prunus serotina , black cherry,2018,NA,"c(1837379.72493123, 2198151.44087072)",PelhamBaySouth
Styphnolobium japonicum , Japanese pagoda tree,2018,NA,"c(1837888.5347828, 2197686.81409691)",PelhamBaySouth
Populus deltoides , eastern cottonwood,2018,NA,"c(1838070.54892113, 2198148.74899352)",PelhamBaySouth
Malus , apple,2018,NA,"c(1836663.01055054, 2198037.14799261)",PelhamBaySouth
Zelkova serrata , Japanese zelkova,2018,NA,"c(1837907.08283317, 2197699.15294187)",PelhamBaySouth
Juglans nigra , black walnut,2018,NA,"c(1838010.73576011, 2197880.6104228)",PelhamBaySouth
Liriodendron tulipifera , tuliptree,2018,NA,"c(1837542.89825954, 2198239.69902876)",PelhamBaySouth
Pinus strobus , eastern white pine,2018,NA,"c(1836847.48923795, 2198134.99651268)",PelhamBaySouth
Acer rubrum , red maple,2018,NA,"c(1837362.24376921, 2198349.52787916)",PelhamBaySouth
Quercus phellos , willow oak,2018,NA,"c(1837491.47253529, 2198215.80366023)",PelhamBaySouth
Quercus phellos , willow oak,2018,NA,"c(1837446.99775731, 2198212.7739165)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1837485.14926714, 2198240.57681875)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836793.51242917, 2198121.51859875)",PelhamBaySouth
Morus , mulberry,2018,NA,"c(1837713.68294028, 2198427.17636401)",PelhamBaySouth
Carya cordiformis , bitternut hickory,2018,NA,"c(1837768.24371333, 2197685.47049497)",PelhamBaySouth
Amelanchier laevis , Allegheny serviceberry,2018,NA,"c(1836913.52690716, 2198061.61896922)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837449.4655765, 2197653.16984305)",PelhamBaySouth
Tilia tomentosa , silver linden,2018,NA,"c(1837403.93638095, 2198087.68053116)",PelhamBaySouth
Acer platanoides , Norway maple,2018,NA,"c(1837842.49245413, 2197695.3497864)",PelhamBaySouth
Quercus macrocarpa , bur oak,2018,NA,"c(1837431.22212323, 2198297.27583582)",PelhamBaySouth
Quercus bicolor , swamp white oak,2018,NA,"c(1837723.16605688, 2198463.64993998)",PelhamBaySouth
Pinus strobus , eastern white pine,2018,NA,"c(1837069.27572416, 2198403.43266458)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837387.39243113, 2198074.86410816)",PelhamBaySouth
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1836767.84233799, 2198017.92675687)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836840.821219, 2198046.93839342)",PelhamBaySouth
Quercus coccinea , scarlet oak,2018,NA,"c(1837375.1324796, 2198021.39351438)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1837690.99461614, 2198398.5828804)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836755.16279886, 2198178.16547109)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836810.08670696, 2198124.40159543)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837580.22755941, 2198323.68910187)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837061.43362646, 2198390.7133525)",PelhamBaySouth
Koelreuteria paniculata , goldenrain tree,2018,NA,"c(1837257.72604165, 2198299.01058112)",PelhamBaySouth
Acer rubrum , red maple,2018,NA,"c(1837392.90021951, 2198218.88992237)",PelhamBaySouth
Pyrus calleryana , Callery pear,2018,NA,"c(1837299.14451249, 2198208.51704333)",PelhamBaySouth
Quercus ellipsoidalis , northern pin oak,2018,NA,"c(1837260.74829072, 2197965.48674323)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1837486.72118648, 2198172.50759627)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1837338.4483141, 2198340.11802898)",PelhamBaySouth
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1836668.48154496, 2197913.4989559)",PelhamBaySouth
Pinus resinosa , red pine,2018,NA,"c(1836677.99150016, 2197898.51610477)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1837508.81566416, 2198229.39094405)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837473.36409279, 2198236.05173502)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1837559.35770371, 2198397.27016013)",PelhamBaySouth
Ilex , holly,2018,NA,"c(1836703.91848226, 2197950.42752274)",PelhamBaySouth
Styphnolobium japonicum , Japanese pagoda tree,2018,NA,"c(1838020.56203194, 2197840.76892391)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836634.96575104, 2198105.71499801)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836646.20746369, 2197994.44256224)",PelhamBaySouth
Quercus ellipsoidalis , northern pin oak,2018,NA,"c(1837179.05408698, 2198072.04058026)",PelhamBaySouth
Acer rubrum , red maple,2018,NA,"c(1837466.558505, 2197695.49564364)",PelhamBaySouth
Salix alba , white willow,2018,NA,"c(1837706.07725041, 2198410.47037265)",PelhamBaySouth
Pinus resinosa , red pine,2018,NA,"c(1836598.49695779, 2197983.09933655)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1837502.81758041, 2198221.23498584)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837596.625575, 2198332.82244233)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1837458.41711882, 2198234.31719742)",PelhamBaySouth
Quercus ellipsoidalis , northern pin oak,2018,NA,"c(1837239.49898616, 2198041.7356225)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837431.99186816, 2198125.18766398)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837083.46372809, 2198365.76968287)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837437.96400836, 2197662.00368278)",PelhamBaySouth
Tilia americana , American basswood,2018,NA,"c(1836647.13175758, 2198099.28227456)",PelhamBaySouth
Carya cordiformis , bitternut hickory,2018,NA,"c(1837675.63387864, 2198448.45407119)",PelhamBaySouth
Liriodendron tulipifera , tuliptree,2018,NA,"c(1837517.04840637, 2198305.32139869)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837270.95024107, 2197916.86057786)",PelhamBaySouth
Liriodendron tulipifera , tuliptree,2018,NA,"c(1837435.87385884, 2198187.75749484)",PelhamBaySouth
Salix alba , white willow,2018,NA,"c(1837701.78292418, 2198400.64867303)",PelhamBaySouth
Acer rubrum , red maple,2018,NA,"c(1837447.22194469, 2197679.96118104)",PelhamBaySouth
Pyrus calleryana , Callery pear,2018,NA,"c(1837316.90467163, 2198370.30098449)",PelhamBaySouth
Quercus phellos , willow oak,2018,NA,"c(1837431.13977952, 2198199.35647301)",PelhamBaySouth
Acer platanoides , Norway maple,2018,NA,"c(1837482.77705674, 2198137.55020737)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837523.39091386, 2198182.51866851)",PelhamBaySouth
Metasequoia glyptostroboides , dawn redwood,2018,NA,"c(1837550.54127708, 2198214.54579507)",PelhamBaySouth
Quercus phellos , willow oak,2018,NA,"c(1837492.57456107, 2198207.76708079)",PelhamBaySouth
Tilia tomentosa , silver linden,2018,NA,"c(1837456.68343487, 2198141.55303303)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1837347.91340161, 2198318.21006853)",PelhamBaySouth
Pyrus calleryana , Callery pear,2018,NA,"c(1837236.89002496, 2198320.87611102)",PelhamBaySouth
Cornus florida , flowering dogwood,2018,NA,"c(1836669.8441936, 2197921.74054807)",PelhamBaySouth
Platanus x acerifolia , London planetree,2018,NA,"c(1836854.58034672, 2198075.40054692)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1836927.458618, 2198146.1035566)",PelhamBaySouth
Cercis canadensis , eastern redbud,2018,NA,"c(1836815.13021137, 2198169.26520274)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837442.76258756, 2198129.18213129)",PelhamBaySouth
Unknown , Unknown,2018,NA,"c(1836667.01583505, 2198141.22831427)",PelhamBaySouth
Malus , apple,2018,NA,"c(1836895.66193959, 2198051.29114579)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837101.3415815, 2198419.21337668)",PelhamBaySouth
Tilia tomentosa , silver linden,2018,NA,"c(1837410.90239298, 2198092.78654717)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837509.70424365, 2198180.92557759)",PelhamBaySouth
Pinus strobus , eastern white pine,2018,NA,"c(1836719.68546286, 2197970.69643557)",PelhamBaySouth
Malus , apple,2018,NA,"c(1836715.24826304, 2197933.52421962)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836681.12758678, 2198121.88998137)",PelhamBaySouth
Koelreuteria paniculata , goldenrain tree,2018,NA,"c(1837183.1933973, 2198184.7385456)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837048.97537587, 2198392.73374733)",PelhamBaySouth
Quercus imbricaria , shingle oak,2018,NA,"c(1837483.10306593, 2198267.27840297)",PelhamBaySouth
Metasequoia glyptostroboides , dawn redwood,2018,NA,"c(1837470.82091287, 2197721.7864542)",PelhamBaySouth
Prunus serotina , black cherry,2018,NA,"c(1837391.48908043, 2198140.18800228)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836712.12086958, 2198104.85323315)",PelhamBaySouth
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1836624.81778725, 2197812.51948019)",PelhamBaySouth
Juglans nigra , black walnut,2018,NA,"c(1837982.81574863, 2197821.63994597)",PelhamBaySouth
Prunus serotina , black cherry,2018,NA,"c(1837380.69697232, 2198099.96119825)",PelhamBaySouth
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1836803.99703411, 2198151.89539975)",PelhamBaySouth
Prunus serotina , black cherry,2018,NA,"c(1836692.12812321, 2197906.31549909)",PelhamBaySouth
Acer platanoides , Norway maple,2018,NA,"c(1837814.31901773, 2197686.67091631)",PelhamBaySouth
Amelanchier , serviceberry,2018,NA,"c(1836684.84872915, 2198104.51978227)",PelhamBaySouth
Liriodendron tulipifera , tuliptree,2018,NA,"c(1837453.8752297, 2198192.3154321)",PelhamBaySouth
Koelreuteria paniculata , goldenrain tree,2018,NA,"c(1837185.23449325, 2198188.68917297)",PelhamBaySouth
Pinus strobus , eastern white pine,2018,NA,"c(1836825.32576724, 2198142.19722912)",PelhamBaySouth
Salix alba , white willow,2018,NA,"c(1837695.23828627, 2198393.22123095)",PelhamBaySouth
Quercus bicolor , swamp white oak,2018,NA,"c(1837517.67998953, 2198220.25237764)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837107.74540658, 2198408.57512159)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836947.2975899, 2198096.50028359)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837057.00032872, 2198366.73280555)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837082.67401454, 2198357.76129693)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837363.46163221, 2198078.19508239)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836715.77443573, 2198151.89250401)",PelhamBaySouth
Magnolia , magnolia,2018,NA,"c(1837266.69599763, 2197943.00376863)",PelhamBaySouth
Ilex , holly,2018,NA,"c(1836704.70721058, 2197965.89373355)",PelhamBaySouth
Koelreuteria paniculata , goldenrain tree,2018,NA,"c(1837242.95790369, 2198357.20619684)",PelhamBaySouth
Quercus alba , white oak,2018,NA,"c(1836722.13907402, 2198135.85419235)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836602.01756752, 2197902.4562188)",PelhamBaySouth
Pinus strobus , eastern white pine,2018,NA,"c(1836676.92053304, 2197902.47032299)",PelhamBaySouth
Prunus serotina , black cherry,2018,NA,"c(1836675.74058498, 2197922.82001129)",PelhamBaySouth
Prunus , Cherry,2018,NA,"c(1836634.53244837, 2197837.6658383)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1837986.49664098, 2197823.50248635)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836734.69861389, 2198040.22075946)",PelhamBaySouth
Malus , apple,2018,NA,"c(1837312.74084237, 2198045.99002826)",PelhamBaySouth
Pinus resinosa , red pine,2018,NA,"c(1837952.46726502, 2197747.09886596)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837480.20448491, 2197701.76023647)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836600.95604267, 2197996.15312756)",PelhamBaySouth
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1836780.89834631, 2198100.5741557)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836743.4585166, 2197980.88727965)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1836952.48715047, 2198100.64472919)",PelhamBaySouth
Liriodendron tulipifera , tuliptree,2018,NA,"c(1837457.11329817, 2198173.65990138)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836719.52119414, 2198023.30563509)",PelhamBaySouth
Quercus ellipsoidalis , northern pin oak,2018,NA,"c(1837132.3386824, 2198249.49107143)",PelhamBaySouth
Morus , mulberry,2018,NA,"c(1836833.54095381, 2198035.26236751)",PelhamBaySouth
Acer rubrum , red maple,2018,NA,"c(1836594.98757023, 2197881.55585664)",PelhamBaySouth
Malus , apple,2018,NA,"c(1836883.8028725, 2198046.33231606)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837525.551548, 2198184.25474358)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837799.9596339, 2197666.10964998)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1837983.94881678, 2197812.19542217)",PelhamBaySouth
Aesculus hippocastanum , horse chestnut,2018,NA,"c(1837833.14603979, 2197710.83649168)",PelhamBaySouth
Pinus strobus , eastern white pine,2018,NA,"c(1837082.83340527, 2198425.52624541)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837498.08635062, 2198197.8628012)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1837468.04447683, 2198314.76441068)",PelhamBaySouth
Prunus serotina , black cherry,2018,NA,"c(1837819.48492847, 2197679.66694359)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1837254.95096104, 2198009.9145798)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837110.07157845, 2198422.20547542)",PelhamBaySouth
Koelreuteria paniculata , goldenrain tree,2018,NA,"c(1837053.34865352, 2198227.40907965)",PelhamBaySouth
Quercus phellos , willow oak,2018,NA,"c(1837480.78180723, 2198193.43169143)",PelhamBaySouth
Quercus alba , white oak,2018,NA,"c(1836778.72846255, 2197983.69186929)",PelhamBaySouth
Malus , apple,2018,NA,"c(1837333.00827572, 2198006.1762852)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1837543.30765303, 2198389.54997796)",PelhamBaySouth
Prunus serotina , black cherry,2018,NA,"c(1837380.88571199, 2198103.10194204)",PelhamBaySouth
Quercus phellos , willow oak,2018,NA,"c(1837417.14422509, 2198184.81916112)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837399.4060771, 2198110.86184513)",PelhamBaySouth
Acer saccharinum , silver maple,2018,NA,"c(1837478.61705855, 2198151.80189246)",PelhamBaySouth
Quercus ellipsoidalis , northern pin oak,2018,NA,"c(1837110.304217, 2198116.71232377)",PelhamBaySouth
Styphnolobium japonicum , Japanese pagoda tree,2018,NA,"c(1837892.8242521, 2197691.30727909)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837087.77064072, 2198359.07293404)",PelhamBaySouth
Ulmus americana , American elm,2018,NA,"c(1836855.4661031, 2198079.07722882)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836709.07399643, 2198003.11632668)",PelhamBaySouth
Quercus ellipsoidalis , northern pin oak,2018,NA,"c(1837165.99836511, 2198249.76495458)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836798.71396834, 2198110.55183644)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837057.47308697, 2198360.23567478)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1836635.89666871, 2198023.18020345)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837673.51894507, 2198490.7809433)",PelhamBaySouth
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1836770.70732219, 2198090.7850464)",PelhamBaySouth
Acer platanoides , Norway maple,2018,NA,"c(1837944.31635689, 2197753.50824366)",PelhamBaySouth
Aesculus hippocastanum , horse chestnut,2018,NA,"c(1836619.9705666, 2197986.47879297)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837464.90205603, 2197705.87997077)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1837372.24112893, 2198338.73033168)",PelhamBaySouth
Prunus , Cherry,2018,NA,"c(1836662.57375137, 2197896.57124251)",PelhamBaySouth
Morus , mulberry,2018,NA,"c(1837781.49246651, 2197648.61515274)",PelhamBaySouth
Acer platanoides , Norway maple,2018,NA,"c(1837938.830874, 2197750.14019045)",PelhamBaySouth
Unknown , Unknown,2018,NA,"c(1837993.38382415, 2197826.97414933)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836713.77270243, 2197955.99033466)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836700.22466673, 2197914.51687406)",PelhamBaySouth
Cercis canadensis , eastern redbud,2018,NA,"c(1836613.83816346, 2197940.3575912)",PelhamBaySouth
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1836701.63385735, 2197985.10365454)",PelhamBaySouth
Prunus , Cherry,2018,NA,"c(1836628.61015553, 2197821.6028959)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836674.77909106, 2198039.83987535)",PelhamBaySouth
Pinus resinosa , red pine,2018,NA,"c(1836858.44118421, 2198143.25592902)",PelhamBaySouth
Tilia americana , American basswood,2018,NA,"c(1836745.67001527, 2198157.0166849)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836863.82545769, 2198044.74233624)",PelhamBaySouth
Juglans nigra , black walnut,2018,NA,"c(1836591.36768605, 2198014.72232677)",PelhamBaySouth
Quercus ellipsoidalis , northern pin oak,2018,NA,"c(1837236.85444611, 2198058.52937337)",PelhamBaySouth
Quercus ellipsoidalis , northern pin oak,2018,NA,"c(1837141.48323549, 2198246.71658099)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837603.34297959, 2198330.34399351)",PelhamBaySouth
Styphnolobium japonicum , Japanese pagoda tree,2018,NA,"c(1837105.0743544, 2198432.48254269)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1837458.0813144, 2198199.7776393)",PelhamBaySouth
Pinus resinosa , red pine,2018,NA,"c(1836640.65846581, 2197851.25498581)",PelhamBaySouth
Liriodendron tulipifera , tuliptree,2018,NA,"c(1837553.73290153, 2198255.51783826)",PelhamBaySouth
Ailanthus altissima , tree of heaven,2018,NA,"c(1837787.86427408, 2197658.49989836)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837440.99963056, 2198114.66673829)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837323.0161516, 2198307.49613887)",PelhamBaySouth
Quercus alba , white oak,2018,NA,"c(1836806.91479326, 2198016.21215956)",PelhamBaySouth
Acer rubrum , red maple,2018,NA,"c(1837470.73114372, 2197698.76406295)",PelhamBaySouth
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1836631.47430205, 2198014.0116414)",PelhamBaySouth
Acer rubrum , red maple,2018,NA,"c(1837404.40127325, 2198221.61795802)",PelhamBaySouth
Juglans nigra , black walnut,2018,NA,"c(1837342.50170883, 2198364.51623758)",PelhamBaySouth
Pyrus calleryana , Callery pear,2018,NA,"c(1837303.99687597, 2198373.87068733)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1837571.74154514, 2198290.5078302)",PelhamBaySouth
Quercus rubra , northern red oak,2018,NA,"c(1836843.98897065, 2198166.75798793)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837585.47960526, 2198317.29446084)",PelhamBaySouth
Koelreuteria paniculata , goldenrain tree,2018,NA,"c(1837239.84540487, 2198353.94590383)",PelhamBaySouth
Morus , mulberry,2018,NA,"c(1837708.8425386, 2198418.58265668)",PelhamBaySouth
Tilia tomentosa , silver linden,2018,NA,"c(1836730.8716838, 2198010.22270413)",PelhamBaySouth
Koelreuteria paniculata , goldenrain tree,2018,NA,"c(1837233.87257358, 2198359.55301503)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837186.12200363, 2198319.78087605)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1836728.82568471, 2197984.78879623)",PelhamBaySouth
Malus , apple,2018,NA,"c(1837597.89454005, 2198366.24289251)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1837353.49732403, 2198347.69387076)",PelhamBaySouth
Pyrus calleryana , Callery pear,2018,NA,"c(1837204.14940958, 2198160.56508658)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837390.41917482, 2198088.42416977)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1836841.81702032, 2198121.93863443)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836593.3293218, 2198030.35433388)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1836834.57562135, 2198129.96475675)",PelhamBaySouth
Quercus alba , white oak,2018,NA,"c(1837604.14091836, 2198358.28334967)",PelhamBaySouth
Acer saccharinum , silver maple,2018,NA,"c(1837466.07835552, 2198159.61231343)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837417.22398739, 2198211.88673813)",PelhamBaySouth
Pinus resinosa , red pine,2018,NA,"c(1836611.05006856, 2198005.2126673)",PelhamBaySouth
Cercis canadensis , eastern redbud,2018,NA,"c(1836591.52642371, 2197892.46295835)",PelhamBaySouth
Quercus alba , white oak,2018,NA,"c(1837603.03990873, 2198347.97389807)",PelhamBaySouth
Acer platanoides , Norway maple,2018,NA,"c(1838056.21973648, 2197996.75873692)",PelhamBaySouth
Quercus ellipsoidalis , northern pin oak,2018,NA,"c(1837202.41563855, 2198057.06927584)",PelhamBaySouth
Pinus strobus , eastern white pine,2018,NA,"c(1836672.43970965, 2197897.63115862)",PelhamBaySouth
Koelreuteria paniculata , goldenrain tree,2018,NA,"c(1837256.22217325, 2198294.82840924)",PelhamBaySouth
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1836591.43963249, 2197955.98285281)",PelhamBaySouth
Styphnolobium japonicum , Japanese pagoda tree,2018,NA,"c(1837333.80937759, 2198016.94492741)",PelhamBaySouth
Tilia americana , American basswood,2018,NA,"c(1836645.37230086, 2198082.2709002)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837299.5085375, 2198206.87717397)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837407.83777206, 2198210.90189051)",PelhamBaySouth
Juglans nigra , black walnut,2018,NA,"c(1837990.61938374, 2197820.94559471)",PelhamBaySouth
Celtis occidentalis , common hackberry,2018,NA,"c(1837054.06563969, 2198389.26502476)",PelhamBaySouth
Acer rubrum , red maple,2018,NA,"c(1837434.27791626, 2198181.03121298)",PelhamBaySouth
Juglans nigra , black walnut,2018,NA,"c(1838015.27098154, 2197888.56374073)",PelhamBaySouth
Pinus strobus , eastern white pine,2018,NA,"c(1836647.82156062, 2197858.20713149)",PelhamBaySouth
Tilia cordata , littleleaf linden,2018,NA,"c(1837532.62844028, 2198196.24230847)",PelhamBaySouth
Tilia americana , American basswood,2018,NA,"c(1836732.0170432, 2198128.32967224)",PelhamBaySouth
Acer rubrum , red maple,2018,NA,"c(1837462.88776882, 2198146.75286464)",PelhamBaySouth
Ailanthus altissima , tree of heaven,2018,NA,"c(1837929.97050614, 2197785.99556388)",PelhamBaySouth
Ilex , holly,2018,NA,"c(1836735.99992043, 2198167.51225206)",PelhamBaySouth
Pinus strobus , eastern white pine,2018,NA,"c(1837066.28612815, 2198402.40986103)",PelhamBaySouth
Quercus palustris , pin oak,2018,NA,"c(1836791.03648646, 2197999.54550699)",PelhamBaySouth
Liquidambar styraciflua , sweetgum,2018,NA,"c(1837681.44727684, 2197807.34247798)",PelhamBaySouth
