PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,YEAR,QUARTER
HOUSTON PLAYGROUND,BROOKLYN,0.918,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
WALTER WARD PLAYGROUND,QUEENS,0.935,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
SOUTH ROCHDALE PLAYGROUND,QUEENS,0.942,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
MATTHEW P. SAPOLIN PLAYGROUND,MANHATTAN,0.947,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
PARK SLOPE PLAYGROUND,BROOKLYN,0.955,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
PLAYGROUND 174,BRONX,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
PLIMPTON PLAYGROUND,BRONX,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
HOWARD PLAYGROUND,BROOKLYN,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
NICHOLAS NAQUAN HEYWARD JR. PARK,BROOKLYN,1.041,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
DE HOSTOS PLAYGROUND,BROOKLYN,1.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
POPPENHUSEN PLAYGROUND,QUEENS,1.14,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
WILLETS POINT PLAYGROUND,QUEENS,1.145,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
SOUTH OXFORD PARK,BROOKLYN,1.187,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
CHAPPETTO SQUARE,QUEENS,1.226,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
GREENE PLAYGROUND,BROOKLYN,1.259,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
LITTLE FLOWER PLAYGROUND,MANHATTAN,1.294,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
PAUL RAIMONDA PLAYGROUND,QUEENS,1.31,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
UNNAMED PARK ON VANDALIA AVENUE,BROOKLYN,1.351,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
HILLSIDE PARK BROOKLYN,BROOKLYN,1.371,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
ST. CATHERINE'S PARK,MANHATTAN,1.383,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
BROAD CHANNEL PARK,QUEENS,1.52,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
DUKE PARK,BROOKLYN,0.137,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
PEARL ST PLAYGROUND,MANHATTAN,0.162,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
GENE GRAY PLAYGROUND,QUEENS,0.229,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
SLEDGE PLAYGROUND,BROOKLYN,0.328,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
